country,confirmed,death,recovered,active,population
Afghanistan,39928,1480,33308,5140,3804.1754
Albania,15752,429,9675,5648,285.4191
Algeria,53399,1818,37492,14089,4305.3054
Andorra,2995,57,1928,1010,7.7142
Angola,6680,222,2761,3697,3182.5295
Antigua and Barbuda,111,3,97,11,9.7118
Argentina,917035,24572,742235,150228,4493.8712
Armenia,57566,1032,46318,10216,295.7731
Australia,27337,904,25046,1387,2536.4307
Austria,57326,861,44949,11516,887.7067
Azerbaijan,42381,612,39468,2301,1002.3318
Bahamas,5163,108,2978,2077,38.9482
Bahrain,76272,285,72164,3823,164.1172
Bangladesh,381275,5577,295873,79825,16304.6161
Barbados,210,7,187,16,28.7025
Belarus,84524,906,77797,5821,946.6856
Belgium,173240,10244,20452,142544,1148.4055
Belize,2585,39,1580,966,39.0353
Benin,2411,41,1973,397,1180.1151
Bhutan,313,0,293,20,76.3092
Bolivia,138922,8351,102083,28488,1151.31
Bosnia and Herzegovina,31173,947,23777,6449,330.1
Botswana,3515,20,853,2642,230.3697
Brazil,5113628,150998,4526393,436237,21104.9527
Brunei,146,3,143,0,43.3285
Bulgaria,25774,923,16139,8712,697.5761
Burkina Faso,2305,63,1581,661,2032.1378
Myanmar,30437,693,11769,17975,5404.542
Burundi,529,1,472,56,1153.058
Cabo Verde,7254,77,6210,967,54.9935
Cambodia,283,0,278,5,1648.6542
Cameroon,21203,423,20117,663,2587.638
Canada,189489,9707,160223,NA,3758.9262
Central African Republic,4854,62,1924,2868,474.5185
Chad,1321,92,1120,109,1594.6876
Chile,484280,13396,456499,NA,1895.2038
China,90858,4739,85707,412,139771.5
Colombia,924098,28141,806703,89254,5033.9443
Comoros,496,7,484,5,85.0886
"Congo, Rep.",5118,90,3887,1141,538.0508
"Congo, Dem. Rep.",10872,276,10249,347,8679.0567
Costa Rica,90238,1124,53670,35444,504.7561
Cote d'Ivoire,20183,120,19860,203,2571.6544
Croatia,20993,330,17889,2774,406.75
Cuba,6017,123,5602,292,1133.3483
Cyprus,2130,25,1444,661,119.8575
Czech Republic,129747,1106,59901,68740,1066.9709
Denmark,33594,674,27704,5216,581.8553
Djibouti,5428,61,5362,5,97.356
Dominica,32,0,24,8,7.1808
Dominican Republic,119008,2183,94941,21884,1073.8958
Ecuador,148171,12235,128134,7802,1737.3662
Egypt,104787,6071,97841,875,10038.8073
El Salvador,30480,899,25857,3724,645.3553
Equatorial Guinea,5066,83,4954,29,135.5986
Estonia,3908,68,3015,825,132.659
Eswatini,5696,114,5337,245,114.813
Ethiopia,85718,1305,39307,45106,11207.873
Fiji,32,2,30,0,88.9953
Finland,12499,346,8500,3653,552.0314
France,798257,32982,105203,659262,6705.9887
Gabon,8860,54,8298,508,217.2579
Gambia,3636,118,2593,925,234.7706
Georgia,12841,102,6867,5872,372.0382
Germany,337314,9682,280533,47099,8313.2799
Ghana,47126,310,46469,347,3041.7856
Greece,23060,462,1347,21251,1071.6322
Grenada,25,0,24,1,11.2003
Guatemala,98380,3410,87744,7226,1660.4026
Guinea,11134,70,10347,717,1277.1246
Guinea-Bissau,2389,41,1782,566,192.0922
Guyana,3565,106,2435,1024,78.2766
Haiti,8887,230,7140,1517,1126.3077
Honduras,84852,2528,32772,49552,974.6117
Hungary,39862,996,11753,27113,976.9949
Iceland,3668,10,2587,1071,36.1313
India,7239389,110586,6301927,826876,136641.7754
Indonesia,340622,12027,263296,65299,27062.5568
Iran,508389,29070,411840,67479,8291.3906
Iraq,409358,9970,344208,55180,3930.9783
Ireland,44159,1830,23364,18965,494.1444
Israel,296652,2055,245811,48786,905.33
Italy,365467,36246,242028,87193,6029.7396
Jamaica,7910,146,3303,4461,294.8279
Japan,90153,1635,82063,NA,12626.4931
Jordan,28127,225,6361,21541,1010.1694
Kazakhstan,108984,1768,104346,2870,1851.393
Kenya,41937,787,31340,9810,5257.3973
"Korea, Rep.",24889,438,23030,1421,5170.9098
Kuwait,112737,672,104508,7557,420.7083
Kyrgyz Republic,49871,1092,44712,4067,645.69
Laos,23,0,22,1,716.9455
Latvia,2840,41,1325,1474,191.2789
Lebanon,55869,479,24581,30809,685.5713
Lesotho,1822,42,961,819,212.5268
Liberia,1371,82,1251,38,493.7374
Libya,44985,656,25007,19322,677.7452
Liechtenstein,163,1,128,34,3.8019
Lithuania,6366,106,2842,3418,278.6844
Luxembourg,9840,133,8248,1459,61.9896
Madagascar,16754,237,16124,393,2696.9307
Malawi,5827,181,4688,958,1862.8747
Malaysia,16880,163,11372,5345,3194.9777
Maldives,10993,35,9833,1125,53.0953
Mali,3297,132,2544,621,1965.8031
Malta,3937,44,3012,881,50.2653
Mauritania,7565,163,7301,101,452.5696
Mauritius,407,10,361,36,126.5711
Mexico,825340,84420,703457,37463,12757.5529
Moldova,63275,1495,45102,16678,265.7637
Monaco,241,2,217,22,3.8964
Mongolia,320,0,311,9,322.5167
Montenegro,14268,213,10063,3992,62.2137
Morocco,156946,2685,131462,22799,3647.1769
Mozambique,10258,73,7880,2305,3036.6036
Namibia,12000,129,10120,1751,249.453
Nepal,115358,663,78780,35915,2860.871
Netherlands,194591,6689,4915,182987,1733.285
New Zealand,1874,25,1809,40,491.7
Nicaragua,5353,154,4225,974,654.5502
Niger,1203,69,1124,10,2331.0715
Nigeria,60655,1116,52006,7533,20096.3599
North Macedonia,21193,800,16397,3996,208.3459
Norway,15793,277,11863,3653,534.7896
Oman,107213,1053,93557,12603,497.4986
Pakistan,320463,6601,305080,8782,21656.5318
Panama,121296,2511,97297,21488,424.6439
Papua New Guinea,565,7,537,21,877.6109
Paraguay,51197,1108,33325,16764,704.4636
Peru,853974,33419,748097,72458,3251.0453
Philippines,344713,6372,293383,44958,10811.6615
Poland,135278,3101,82004,50173,3797.0874
Portugal,89121,2110,54047,32964,1026.9417
Qatar,128405,220,125373,2812,283.2067
Romania,160461,5535,120515,34411,1935.6544
Russia,1318783,22834,1027348,268601,14437.3535
Rwanda,4908,32,4130,746,1262.695
St. Kitts and Nevis,19,0,19,0,5.2823
St. Lucia,29,0,27,2,18.279
St. Vincent and the Grenadines,64,0,64,0,11.0589
San Marino,741,42,682,17,3.386
Sao Tome and Principe,929,15,895,19,21.5056
Saudi Arabia,340089,5087,326339,8663,3426.8528
Senegal,15307,315,13508,1484,1629.6364
Serbia,35006,767,0,34239,694.4975
Seychelles,148,0,144,4,9.7625
Sierra Leone,2309,72,1738,499,781.3215
Singapore,57884,28,57740,116,570.3569
Slovak Republic,20886,61,6388,14437,545.4073
Slovenia,9231,173,5314,3744,208.7946
Solomon Islands,2,0,0,2,66.9823
Somalia,3864,99,3089,676,1544.2905
South Africa,694537,18028,625574,50935,5855.827
South Sudan,2798,55,1290,1453,1106.2113
Spain,896086,33204,150376,712506,4707.6781
Sri Lanka,5038,13,3328,1697,2180.3
Sudan,13691,836,6764,6091,4281.3238
Suriname,5072,107,4870,95,58.1372
Sweden,100654,5899,0,94755,1028.5453
Switzerland,65881,2103,49800,13978,857.4832
Syria,4826,231,1364,3231,1707.0135
Tajikistan,10297,79,9177,1041,932.1018
Tanzania,509,21,183,305,5800.5463
Thailand,3652,59,3457,136,6962.5582
Timor-Leste,29,0,28,1,129.3119
Togo,1972,50,1465,457,808.2366
Trinidad and Tobago,5127,93,3367,1667,139.4973
Tunisia,32556,478,5032,27046,1169.4719
Turkey,338779,8957,296972,32850,8342.9615
Uganda,9945,95,6347,3503,4426.9594
Ukraine,277982,5254,120999,151729,4438.5155
United Arab Emirates,108608,448,100007,8153,977.0529
United Kingdom,637708,43108,2535,592065,6683.4405
Uruguay,2337,51,1987,299,346.1734
United States,7860634,216074,3124593,4516029,32823.9523
Uzbekistan,61642,511,58613,2518,3358.065
Venezuela,84391,710,76262,7419,2851.5829
Vietnam,1113,35,1025,53,9646.2106
West Bank and Gaza,45200,391,38841,5968,468.5306
Yemen,2053,596,1329,128,2916.1922
Zambia,15587,345,14783,459,1786.103
Zimbabwe,8036,230,7632,174,1464.5468
